respondent_id,age,income,education,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20
63,32.0,,Master,3,4,3,4,3.0,3,2,3,4,3.0,4,3,3,3,5.0,3.0,4.0,2.0,4,4
64,60.0,,High School,2,2,4,3,2.0,3,3,3,3,4.0,1,4,3,4,2.0,3.0,,,4,3
65,25.0,,Bachelor,2,3,3,2,2.0,3,3,3,1,,5,4,3,4,5.0,1.0,4.0,3.0,4,4
66,47.0,,High School,5,3,4,3,4.0,3,5,3,2,2.0,2,4,3,2,,4.0,,,4,3
67,51.0,76080.0,High School,5,2,3,4,4.0,4,3,1,4,3.0,3,5,2,4,5.0,1.0,3.0,2.0,3,3
68,36.0,,Bachelor,5,2,2,5,2.0,4,2,5,4,4.0,4,2,3,2,1.0,3.0,3.0,5.0,3,4
69,67.0,79462.0,Bachelor,1,5,2,4,5.0,3,3,4,3,2.0,4,4,4,4,4.0,,1.0,4.0,3,4
70,44.0,48328.0,Bachelor,3,3,2,3,1.0,4,1,4,4,3.0,3,4,3,5,4.0,4.0,,3.0,5,2
71,38.0,,Master,4,4,4,2,3.0,4,2,4,3,3.0,4,3,4,3,5.0,2.0,,5.0,2,2
72,18.0,,PhD,3,3,3,3,,4,4,3,5,3.0,3,2,4,1,2.0,3.0,3.0,2.0,3,4
73,90.0,89754.0,High School,3,5,3,3,4.0,3,2,3,4,4.0,3,2,5,3,,,,3.0,3,4
74,43.0,,Master,3,5,2,3,3.0,4,5,3,4,3.0,1,4,3,3,5.0,,3.0,4.0,4,4
75,21.0,,Bachelor,4,4,2,4,3.0,3,4,3,4,2.0,4,3,3,2,5.0,3.0,3.0,4.0,4,3
76,30.0,,Bachelor,4,3,3,4,3.0,3,4,3,3,,2,4,3,5,2.0,2.0,4.0,,3,4
77,62.0,38138.0,Bachelor,3,3,4,4,5.0,4,3,3,2,4.0,2,4,3,3,,,3.0,3.0,4,4
78,30.0,,Master,3,4,4,4,2.0,1,4,3,4,3.0,2,2,3,4,4.0,2.0,5.0,3.0,2,3
79,51.0,113776.0,Bachelor,3,4,3,1,4.0,2,2,4,4,3.0,4,3,5,5,4.0,4.0,4.0,,2,4
80,54.0,,Master,4,5,2,5,2.0,2,3,4,4,4.0,3,3,5,2,4.0,2.0,,2.0,5,2
81,40.0,,High School,4,3,2,3,3.0,5,5,4,1,3.0,3,3,2,3,3.0,,2.0,5.0,3,3
82,34.0,,Master,2,4,3,3,5.0,3,3,3,2,5.0,3,1,2,4,4.0,,,3.0,2,4
83,48.0,111283.0,PhD,2,4,4,4,4.0,3,3,3,5,3.0,3,3,3,1,3.0,3.0,3.0,4.0,1,5
84,53.0,,PhD,4,3,4,3,5.0,3,3,3,4,3.0,5,3,4,3,,3.0,3.0,3.0,5,1
85,21.0,108380.0,Bachelor,5,2,5,4,2.0,1,2,3,3,4.0,5,1,3,4,4.0,4.0,5.0,2.0,3,4
86,18.0,,Master,4,2,1,3,3.0,2,3,3,4,2.0,1,3,3,2,1.0,2.0,3.0,4.0,4,3
87,62.0,,Bachelor,3,4,4,4,4.0,2,2,1,4,2.0,3,4,3,2,4.0,4.0,4.0,,3,4
88,54.0,,High School,3,3,1,4,4.0,3,3,2,5,3.0,3,3,3,3,3.0,4.0,2.0,,4,3
89,50.0,,PhD,4,4,4,5,2.0,2,4,2,4,5.0,1,4,4,2,3.0,4.0,5.0,,4,4
90,34.0,147833.0,Bachelor,4,3,4,3,3.0,4,4,3,3,3.0,5,3,3,3,3.0,4.0,2.0,4.0,2,4
91,62.0,,High School,5,3,3,4,3.0,2,2,3,5,4.0,3,3,3,3,,,3.0,,3,3
92,62.0,141448.0,Bachelor,5,3,4,3,3.0,4,5,3,4,3.0,3,4,3,2,1.0,,,4.0,3,3
93,46.0,88183.0,Master,3,4,3,3,5.0,3,3,4,2,4.0,2,3,1,3,4.0,4.0,4.0,2.0,2,4
94,41.0,,High School,4,4,4,4,3.0,2,3,2,2,3.0,3,5,3,3,4.0,5.0,4.0,3.0,4,4
95,51.0,,Bachelor,3,2,4,3,3.0,3,3,3,4,5.0,4,3,4,2,,5.0,,3.0,2,4
96,49.0,140340.0,PhD,4,5,4,2,3.0,4,2,3,4,2.0,1,3,2,3,,3.0,4.0,3.0,1,5
97,36.0,,High School,2,5,4,2,2.0,2,4,3,3,4.0,2,4,5,1,4.0,3.0,3.0,4.0,1,4
98,21.0,,Bachelor,3,3,4,3,4.0,1,4,4,4,2.0,1,4,3,5,4.0,3.0,3.0,1.0,4,3
99,49.0,,Bachelor,2,3,3,4,3.0,4,3,4,4,5.0,3,4,4,4,4.0,5.0,,5.0,4,3
100,43.0,,Bachelor,3,3,2,4,3.0,3,3,3,3,2.0,2,3,3,3,,4.0,4.0,5.0,3,3
101,56.0,,Master,3,5,3,4,3.0,4,3,3,3,3.0,3,3,4,1,3.0,,3.0,,5,3
102,71.0,,Master,4,3,3,3,4.0,5,4,3,2,3.0,4,3,3,1,4.0,4.0,3.0,4.0,2,3
103,26.0,,High School,4,5,3,1,4.0,3,4,4,5,5.0,3,2,4,4,3.0,5.0,3.0,3.0,4,3
104,52.0,41223.0,High School,3,3,2,2,3.0,3,3,3,3,1.0,3,3,5,3,3.0,,,,4,4
105,23.0,151785.0,Bachelor,4,4,3,2,3.0,3,1,3,2,,2,2,5,2,3.0,2.0,4.0,4.0,2,3
106,66.0,,Bachelor,3,5,4,3,3.0,4,4,3,2,3.0,4,3,4,3,,2.0,,,2,3
107,30.0,64930.0,High School,4,4,4,5,4.0,5,3,3,3,3.0,3,3,5,3,4.0,3.0,1.0,3.0,4,3
108,34.0,51004.0,Bachelor,3,3,4,2,4.0,3,4,4,2,2.0,3,4,4,2,4.0,5.0,2.0,5.0,2,5
109,36.0,,Bachelor,3,4,2,1,2.0,5,3,1,4,3.0,3,3,4,4,,3.0,3.0,5.0,4,4
110,49.0,,High School,2,5,4,1,4.0,3,4,3,3,1.0,3,3,3,4,5.0,,,,3,4
111,49.0,,Bachelor,4,2,2,5,4.0,1,3,3,5,4.0,2,4,4,3,2.0,,4.0,3.0,4,3
112,54.0,,Bachelor,3,3,3,4,4.0,3,3,3,4,2.0,1,3,2,4,3.0,1.0,2.0,,3,3
113,63.0,,High School,3,5,4,5,3.0,3,4,2,1,2.0,4,3,3,3,,,3.0,,2,4
114,41.0,,High School,4,4,5,4,3.0,3,3,3,3,3.0,2,2,3,4,2.0,4.0,3.0,,3,4
115,35.0,,Bachelor,3,2,2,4,3.0,4,3,2,2,4.0,3,1,3,2,4.0,,4.0,4.0,5,3
116,31.0,106415.0,Bachelor,3,4,2,2,3.0,4,4,3,2,3.0,2,3,4,3,3.0,3.0,4.0,4.0,1,4
117,47.0,63592.0,Bachelor,4,3,3,3,4.0,2,4,4,3,3.0,4,3,2,3,,2.0,,3.0,4,2
118,45.0,,PhD,4,4,4,4,3.0,2,4,4,2,1.0,2,3,4,3,,4.0,,4.0,3,1
119,24.0,,Master,3,4,2,4,3.0,4,4,4,3,3.0,5,3,3,2,3.0,3.0,4.0,4.0,3,4
120,56.0,,PhD,3,4,2,4,4.0,3,4,4,2,5.0,3,5,3,3,2.0,,3.0,,4,2
121,39.0,111946.0,Bachelor,3,3,3,3,3.0,2,3,4,3,2.0,3,2,2,3,4.0,3.0,,2.0,3,4
122,68.0,150166.0,High School,3,3,3,2,4.0,2,1,3,2,3.0,2,2,4,3,3.0,3.0,3.0,3.0,2,3
123,43.0,183069.0,High School,3,4,2,2,5.0,3,4,3,2,3.0,3,4,3,3,3.0,3.0,4.0,3.0,3,4
124,29.0,114664.0,Bachelor,4,4,3,4,2.0,5,5,2,2,4.0,3,3,4,3,4.0,3.0,2.0,4.0,3,4
125,49.0,173149.0,Bachelor,3,2,4,2,5.0,2,4,3,4,4.0,1,4,4,3,,4.0,2.0,,4,1
126,61.0,,Bachelor,3,3,3,4,3.0,3,4,3,2,1.0,5,5,3,4,,,4.0,4.0,3,3
127,51.0,,Bachelor,3,3,3,4,5.0,1,4,5,3,5.0,3,4,3,3,,4.0,3.0,3.0,3,5
128,64.0,,Bachelor,2,3,2,1,3.0,5,3,3,2,3.0,4,4,4,5,,,4.0,3.0,4,3
129,33.0,,Master,3,3,3,3,4.0,3,3,4,3,1.0,3,4,2,3,2.0,3.0,,,3,3
130,55.0,109008.0,Bachelor,5,2,5,4,,5,4,4,3,3.0,3,3,3,3,4.0,2.0,3.0,,4,4
131,63.0,44866.0,High School,3,5,4,5,4.0,3,3,4,2,4.0,2,2,4,4,3.0,,4.0,1.0,4,3
132,50.0,,PhD,3,4,2,3,4.0,3,4,4,5,,3,3,2,3,,,,,3,3
133,61.0,,Bachelor,4,3,3,2,5.0,4,3,4,3,4.0,3,5,3,3,,3.0,3.0,4.0,4,3
134,47.0,,Bachelor,5,5,4,4,3.0,5,4,3,3,3.0,4,2,4,2,,4.0,3.0,3.0,4,4
135,62.0,,Master,3,3,4,3,5.0,2,3,4,5,2.0,3,3,1,3,3.0,,3.0,,4,2
136,55.0,,Master,3,2,3,3,3.0,3,5,4,4,3.0,5,4,4,4,,5.0,3.0,,3,2
137,40.0,141648.0,High School,5,3,2,3,4.0,5,5,4,3,3.0,4,2,3,5,3.0,2.0,,,3,4
138,40.0,,Master,3,3,3,4,3.0,3,3,4,2,4.0,3,2,4,3,4.0,,,1.0,2,4
139,54.0,87280.0,Bachelor,4,5,4,3,2.0,5,3,3,4,3.0,3,4,3,3,,,4.0,3.0,4,2
140,39.0,138137.0,Bachelor,3,2,3,4,1.0,4,3,3,4,3.0,4,4,1,3,3.0,4.0,2.0,3.0,2,4
141,48.0,109180.0,High School,3,3,4,2,3.0,3,4,5,4,3.0,5,5,3,2,4.0,,3.0,4.0,3,5
142,45.0,,Bachelor,5,4,3,3,1.0,3,3,2,4,4.0,5,4,4,3,,2.0,3.0,1.0,4,4
143,32.0,,High School,4,3,2,3,5.0,3,4,4,2,3.0,1,4,2,4,3.0,2.0,5.0,3.0,2,3
144,44.0,,High School,4,2,4,1,2.0,4,3,4,3,4.0,3,5,3,4,3.0,2.0,4.0,2.0,4,4
145,37.0,,High School,2,3,2,4,3.0,4,4,4,3,3.0,3,3,4,5,4.0,3.0,,,4,1
146,49.0,,High School,4,4,3,5,3.0,2,4,3,3,2.0,4,5,2,3,4.0,2.0,,,4,3
147,48.0,,PhD,4,3,4,4,3.0,4,2,3,3,4.0,4,3,4,5,4.0,,,5.0,3,3
148,41.0,39243.0,High School,3,4,3,2,3.0,4,2,4,5,3.0,4,3,3,5,4.0,,3.0,3.0,3,3
149,43.0,,Bachelor,2,3,2,4,4.0,3,4,3,3,2.0,3,4,5,3,3.0,4.0,4.0,3.0,2,3
150,24.0,,Bachelor,3,4,4,4,1.0,3,4,3,4,2.0,1,4,4,2,3.0,,3.0,3.0,2,2
151,56.0,,High School,4,3,3,2,3.0,4,5,4,3,5.0,4,3,4,2,3.0,,,,4,1
152,38.0,219492.0,PhD,4,3,3,5,3.0,2,4,2,3,4.0,2,1,2,4,2.0,4.0,2.0,,1,3
153,60.0,,Bachelor,2,4,3,4,3.0,5,4,4,5,,4,4,3,4,3.0,3.0,3.0,,1,3
154,18.0,116325.0,Bachelor,3,3,3,5,3.0,3,3,5,3,3.0,3,4,3,4,4.0,3.0,3.0,4.0,1,3
155,56.0,,Bachelor,3,3,4,4,2.0,4,3,1,3,3.0,3,4,4,3,4.0,,5.0,5.0,3,3
156,40.0,44328.0,High School,4,4,5,4,4.0,3,3,3,4,3.0,2,3,3,5,,3.0,,3.0,3,2
157,65.0,127491.0,Bachelor,1,2,3,4,4.0,3,4,3,3,5.0,2,5,4,2,,3.0,,4.0,3,3
158,64.0,,High School,4,4,5,4,3.0,3,5,2,4,,4,3,3,4,3.0,3.0,4.0,5.0,5,3
159,80.0,47288.0,Master,4,3,2,4,2.0,5,4,3,2,3.0,2,3,4,4,,,,,2,4
160,59.0,,High School,4,3,3,4,2.0,4,3,2,3,1.0,2,3,2,5,3.0,,4.0,,3,3
161,33.0,,Master,4,3,4,3,4.0,5,3,4,3,3.0,1,3,3,1,2.0,4.0,4.0,4.0,4,1
162,59.0,,Bachelor,3,3,5,3,3.0,5,3,5,4,3.0,3,3,2,3,4.0,3.0,,,5,5
163,49.0,,Bachelor,2,4,4,3,4.0,4,3,4,2,3.0,3,3,3,3,3.0,,3.0,,4,3
164,34.0,,Master,3,4,3,5,3.0,1,3,5,4,5.0,3,4,3,2,3.0,3.0,4.0,,5,4
165,59.0,37191.0,Bachelor,4,3,4,4,4.0,3,3,4,3,3.0,3,4,4,3,2.0,,5.0,,3,5
166,46.0,,High School,3,2,3,3,3.0,4,4,4,3,2.0,4,3,3,4,5.0,4.0,5.0,3.0,5,3
167,84.0,,Bachelor,4,1,3,3,5.0,1,1,3,3,4.0,3,3,4,4,,1.0,,,2,3
168,51.0,,High School,1,3,5,3,2.0,3,3,4,3,4.0,4,4,3,4,,4.0,3.0,3.0,3,2
169,42.0,,Master,2,3,2,4,4.0,4,4,5,2,3.0,3,2,4,4,3.0,4.0,3.0,3.0,5,3
170,18.0,83754.0,Bachelor,1,3,3,3,2.0,5,3,3,3,4.0,4,3,4,4,4.0,5.0,3.0,3.0,4,4
171,18.0,,Bachelor,5,3,4,4,2.0,3,4,4,4,5.0,3,5,5,4,1.0,3.0,2.0,5.0,2,2
172,39.0,,High School,3,4,4,3,4.0,4,3,3,3,5.0,3,3,3,4,4.0,2.0,,2.0,3,2
173,56.0,29703.0,PhD,4,3,4,3,4.0,3,3,4,3,3.0,3,1,4,3,3.0,,3.0,,2,2
174,61.0,,High School,4,4,5,3,3.0,2,3,4,4,3.0,3,1,5,4,1.0,,4.0,4.0,3,2
175,59.0,300000.0,High School,2,5,2,4,4.0,3,1,4,1,3.0,3,1,4,4,3.0,,,3.0,4,4
176,18.0,,PhD,2,3,3,3,4.0,3,4,4,4,2.0,3,4,5,2,2.0,3.0,3.0,3.0,2,2
177,35.0,,High School,3,4,3,3,2.0,3,4,3,4,3.0,3,4,3,5,3.0,3.0,4.0,,3,4
178,32.0,,Master,3,3,3,5,4.0,5,4,2,4,4.0,3,1,5,3,4.0,4.0,,2.0,3,4
179,58.0,,High School,3,2,3,4,3.0,4,5,5,4,3.0,3,4,2,4,,2.0,3.0,,2,3
180,40.0,128104.0,Master,3,2,5,5,3.0,2,3,3,3,4.0,5,3,4,3,4.0,2.0,,1.0,2,3
181,64.0,,Master,3,4,5,2,3.0,3,3,2,4,3.0,3,3,3,3,,3.0,2.0,4.0,1,3
182,46.0,,Bachelor,4,2,3,4,3.0,3,3,5,4,4.0,2,5,4,3,,2.0,3.0,,3,3
183,40.0,,Bachelor,4,5,4,4,3.0,4,3,3,3,5.0,1,4,2,3,2.0,3.0,4.0,3.0,5,3
184,43.0,,Master,1,3,3,2,3.0,3,3,5,5,3.0,3,3,3,3,,5.0,,3.0,3,3
185,24.0,,High School,3,3,3,5,2.0,3,2,3,3,3.0,4,3,1,3,3.0,3.0,3.0,5.0,3,3
186,37.0,,Bachelor,4,4,4,4,3.0,2,3,5,1,4.0,3,3,3,3,2.0,5.0,4.0,4.0,2,3
187,53.0,,Bachelor,3,2,4,3,3.0,4,3,4,4,4.0,4,3,3,4,3.0,,4.0,4.0,3,3
188,43.0,41544.0,Bachelor,4,2,5,3,3.0,4,5,3,5,3.0,3,4,3,3,2.0,,,5.0,2,2
189,23.0,,Bachelor,2,3,4,2,3.0,3,4,3,4,3.0,2,2,5,4,3.0,3.0,4.0,3.0,3,4
190,18.0,,Master,4,2,4,2,2.0,4,5,4,2,1.0,3,4,3,3,4.0,3.0,3.0,3.0,3,4
191,25.0,107680.0,Master,4,2,4,2,2.0,2,4,4,5,4.0,3,3,3,5,4.0,4.0,1.0,4.0,4,2
192,29.0,,Master,3,4,3,5,4.0,3,5,1,5,3.0,4,1,4,4,3.0,3.0,1.0,,4,2
193,59.0,199840.0,High School,4,3,4,4,3.0,3,3,3,4,3.0,5,4,5,3,,3.0,,4.0,4,5
194,27.0,118361.0,Bachelor,4,3,3,2,4.0,2,5,3,3,2.0,4,4,3,3,3.0,4.0,4.0,4.0,5,3
195,38.0,220302.0,Master,4,4,1,5,2.0,4,4,3,3,2.0,3,4,3,1,3.0,4.0,4.0,3.0,4,4
196,27.0,,High School,3,4,4,2,3.0,2,3,3,3,3.0,2,3,2,2,3.0,,,4.0,4,4
197,50.0,,High School,3,4,3,3,4.0,4,4,3,3,4.0,1,2,4,3,3.0,,,2.0,4,3
198,55.0,,PhD,4,2,4,4,5.0,2,3,3,3,2.0,3,1,4,4,5.0,,,3.0,3,3
199,54.0,,Bachelor,3,2,3,4,3.0,3,3,5,3,3.0,2,2,4,2,,,,,2,1
200,44.0,,Bachelor,3,3,3,4,,4,4,4,2,4.0,2,3,3,3,1.0,3.0,4.0,,4,4
201,48.0,,Bachelor,3,5,4,5,1.0,2,3,3,5,4.0,4,3,2,3,4.0,4.0,,4.0,3,3
202,59.0,,Bachelor,3,4,4,3,3.0,4,3,5,2,3.0,5,5,5,3,3.0,,4.0,,5,2
203,40.0,39510.0,Master,4,4,2,3,3.0,4,4,3,3,2.0,5,3,3,4,4.0,4.0,2.0,3.0,2,4
204,42.0,56581.0,High School,5,3,3,4,3.0,3,5,3,5,3.0,2,3,5,4,4.0,,3.0,3.0,4,3
205,60.0,,High School,3,3,4,4,1.0,4,3,3,4,3.0,2,5,4,2,4.0,,,,4,5
206,44.0,,Bachelor,3,4,4,4,4.0,5,5,3,3,3.0,3,3,5,3,4.0,,3.0,3.0,3,2
207,46.0,,Bachelor,3,3,3,3,4.0,4,4,3,1,1.0,5,5,4,3,3.0,5.0,,,4,4
208,65.0,,Master,3,3,3,4,1.0,4,2,5,4,3.0,2,4,2,5,4.0,3.0,5.0,3.0,3,4
209,39.0,,Bachelor,3,4,4,5,3.0,2,2,3,4,2.0,4,3,3,3,,5.0,3.0,2.0,2,2
210,57.0,,Bachelor,4,3,2,1,,3,4,3,2,4.0,3,4,2,1,3.0,4.0,,,3,3
211,55.0,,Bachelor,5,3,4,1,3.0,5,2,3,4,,4,3,3,4,3.0,,3.0,3.0,3,2
212,48.0,115625.0,High School,4,3,4,5,3.0,2,5,3,3,4.0,4,3,3,1,5.0,,5.0,5.0,3,3
213,47.0,,Master,1,3,3,3,3.0,3,3,3,4,5.0,3,4,2,2,2.0,3.0,,,4,1
214,22.0,,Bachelor,4,2,2,2,,5,1,4,4,4.0,3,3,3,3,5.0,2.0,3.0,,4,3
215,73.0,,Bachelor,3,3,2,3,4.0,3,4,3,3,4.0,5,1,2,4,5.0,4.0,,,4,3
216,42.0,,Master,4,5,3,3,3.0,1,3,3,2,3.0,3,4,1,4,2.0,4.0,3.0,2.0,4,4
217,54.0,,Bachelor,4,3,2,4,4.0,4,5,3,3,3.0,3,2,2,3,,3.0,3.0,,1,2
218,60.0,132872.0,High School,3,3,3,2,2.0,3,2,3,3,4.0,3,4,3,3,,,,2.0,3,3
219,50.0,,High School,3,4,2,4,4.0,1,2,3,4,3.0,2,4,3,4,,5.0,2.0,4.0,4,4
220,64.0,,Master,2,5,3,3,3.0,4,4,2,2,5.0,2,3,4,4,,2.0,,1.0,5,3
221,59.0,,Bachelor,4,2,5,3,2.0,4,3,2,4,1.0,4,1,3,5,,4.0,4.0,4.0,4,2
222,18.0,122579.0,Bachelor,3,4,4,3,3.0,3,4,3,4,4.0,3,4,4,1,4.0,1.0,2.0,3.0,3,3
223,45.0,,Bachelor,5,3,2,2,4.0,3,1,3,3,5.0,5,5,2,4,,4.0,4.0,,3,3
224,18.0,,High School,1,2,2,4,2.0,4,4,2,3,3.0,3,3,4,4,3.0,4.0,3.0,2.0,5,3
225,41.0,,High School,5,4,3,2,4.0,3,3,1,3,2.0,3,4,4,3,3.0,3.0,,4.0,3,3
226,32.0,,High School,3,3,3,3,4.0,3,3,2,3,3.0,2,4,3,5,3.0,5.0,3.0,,4,4
227,31.0,,PhD,4,3,3,3,2.0,4,4,4,4,2.0,2,3,4,2,3.0,2.0,1.0,4.0,3,3
