applicant_id,age,income,employment_length,debt,credit_score,loan_amount,interest_rate,term,purpose,grade,delinquencies,inquiries,open_accounts,default
31,52,41054.0,7.9,5251.28,626,11652,12.76,60,credit_card,C,0.0,1,10,0
32,48,,3.7,9528.94,701,11348,5.83,60,other,A,1.0,1,7,0
33,38,,0.2,5181.3,675,9640,8.66,60,other,B,0.0,2,7,0
34,52,62990.0,7.8,8609.4,716,14270,9.12,60,debt_consolidation,A,1.0,0,9,0
35,28,44182.0,8.1,23958.8,711,4337,9.11,60,other,A,1.0,0,8,1
36,49,47711.0,5.9,5073.27,844,5441,4.76,60,home,AA,0.0,2,7,0
37,66,24170.0,2.0,7201.09,634,27206,11.78,60,debt_consolidation,C,0.0,1,9,1
38,64,58498.0,3.6,7627.79,638,7389,10.9,36,car,C,1.0,0,4,0
39,39,15000.0,5.9,1190.81,581,47750,12.59,36,car,D,1.0,1,6,1
40,47,62270.0,28.6,29779.06,573,17588,13.48,36,home,D,0.0,1,11,0
41,22,32923.0,13.9,9799.87,667,100000,7.34,60,debt_consolidation,B,0.0,0,7,0
42,51,46665.0,1.0,19285.22,789,6760,7.71,60,debt_consolidation,AA,0.0,1,8,0
43,30,85689.0,,46695.75,684,6315,8.85,60,debt_consolidation,B,,1,4,0
44,61,17704.0,0.6,3065.32,679,15249,9.47,60,debt_consolidation,B,2.0,4,9,0
45,41,20998.0,,607.38,700,14475,4.15,36,other,B,1.0,1,7,0
46,50,55629.0,1.2,17299.99,466,3823,14.72,36,debt_consolidation,D,0.0,0,5,1
47,57,67638.0,1.2,10265.53,623,9750,13.56,60,debt_consolidation,C,0.0,1,3,0
48,44,21424.0,0.8,2239.45,805,26509,5.63,36,car,AA,0.0,0,11,0
49,18,41170.0,11.0,23974.91,695,31485,9.69,60,other,B,1.0,0,7,0
50,40,137991.0,4.9,58089.12,664,5370,10.47,36,credit_card,B,1.0,1,7,0
51,33,37480.0,3.5,2306.46,641,37668,10.55,36,debt_consolidation,C,0.0,0,6,0
52,34,27254.0,7.3,13479.15,787,100000,7.83,36,home,AA,1.0,2,5,0
53,29,21463.0,17.4,3821.83,630,7930,14.39,36,other,C,0.0,0,8,0
54,53,96343.0,5.0,16096.74,631,19883,11.34,60,debt_consolidation,C,0.0,2,9,0
55,25,33254.0,5.2,13339.1,527,33502,12.11,36,other,D,0.0,1,6,0
56,54,27298.0,19.2,1756.02,760,15207,7.33,60,other,AA,0.0,1,7,0
57,57,26399.0,3.5,12193.91,647,36024,9.53,36,other,C,,0,10,0
58,47,21048.0,9.2,6489.17,636,7994,11.15,60,debt_consolidation,C,0.0,2,9,0
59,49,24801.0,16.3,10153.31,570,8139,10.83,60,other,D,0.0,3,6,1
60,68,16551.0,5.0,6775.35,609,8366,13.61,36,car,C,0.0,2,6,0
61,33,41013.0,33.5,6981.09,660,9479,9.89,36,credit_card,B,0.0,1,7,0
62,49,22432.0,2.4,11611.5,750,57425,6.65,36,credit_card,A,0.0,0,7,0
63,20,15000.0,18.7,4635.11,705,18607,6.91,36,other,A,0.0,0,9,0
64,36,80596.0,10.0,4332.97,598,2763,13.2,36,car,D,0.0,1,6,0
65,49,84345.0,1.6,44468.34,649,19037,11.81,36,car,C,0.0,2,8,1
66,43,50560.0,5.8,17880.03,634,12898,12.94,60,debt_consolidation,C,0.0,0,5,0
67,54,15000.0,10.2,6553.47,808,9721,3.03,60,car,AA,0.0,2,11,0
68,27,250000.0,,134330.18,696,6360,10.49,60,credit_card,B,0.0,2,6,0
69,26,68822.0,0.8,24621.2,733,13596,9.9,36,debt_consolidation,A,1.0,1,6,0
70,36,31606.0,10.3,16481.72,568,28876,17.03,36,home,D,1.0,2,5,0
71,31,21809.0,1.4,7377.82,691,2088,11.86,36,debt_consolidation,B,0.0,0,11,0
72,34,50161.0,2.6,16293.41,682,5712,11.92,60,debt_consolidation,B,0.0,3,3,0
73,33,15000.0,16.8,7928.57,686,8943,9.72,36,car,B,0.0,2,10,0
74,61,18848.0,7.7,4195.63,599,28325,9.33,60,car,D,0.0,0,8,0
75,42,15000.0,1.6,8009.6,833,64251,3.71,36,home,AA,0.0,1,9,0
76,50,34290.0,14.7,6326.6,657,37784,11.46,60,other,B,1.0,0,6,0
77,35,18797.0,0.1,7309.66,588,16765,10.47,36,credit_card,D,1.0,1,9,1
78,33,26757.0,12.9,9010.76,742,19145,3.43,60,credit_card,A,0.0,1,6,0
79,37,27693.0,10.3,8997.69,687,14759,10.93,36,home,B,1.0,1,11,0
80,50,,0.7,7168.92,676,13606,5.34,60,car,B,1.0,1,6,0
81,48,21222.0,3.5,4314.87,820,12481,8.18,36,home,AA,1.0,0,6,0
82,29,39072.0,4.9,5550.18,745,4393,8.15,36,car,A,0.0,0,9,0
83,24,93397.0,5.5,8465.3,694,20250,10.13,36,credit_card,B,1.0,2,9,0
84,43,20195.0,0.7,4717.46,575,59569,13.59,60,other,D,0.0,0,8,0
85,35,,8.8,20597.17,618,23775,9.7,36,debt_consolidation,C,0.0,5,4,0
86,55,15000.0,7.0,3105.31,795,10972,6.02,60,car,AA,1.0,2,7,0
87,48,15000.0,17.2,6887.93,703,5948,8.93,60,credit_card,A,0.0,2,3,0
88,21,27220.0,2.0,4509.97,733,22138,7.22,36,credit_card,A,1.0,0,8,0
89,36,23690.0,10.4,9939.51,562,29703,11.58,36,other,D,0.0,1,9,0
90,39,79576.0,5.6,28221.15,718,57684,10.39,60,home,A,1.0,0,4,0
91,63,25281.0,7.6,4778.37,625,16186,6.93,36,debt_consolidation,C,0.0,0,11,0
92,32,18892.0,2.8,11349.82,759,6765,10.48,60,credit_card,AA,0.0,0,6,0
93,45,23809.0,2.0,17070.52,711,3277,6.76,36,credit_card,A,1.0,0,5,1
94,29,25356.0,0.2,15885.75,707,22663,6.16,36,other,A,0.0,1,11,1
95,38,28139.0,5.2,12180.91,763,19009,7.93,60,credit_card,AA,1.0,2,4,0
96,45,37400.0,3.2,16774.71,704,25776,7.73,36,other,A,1.0,1,7,0
97,45,15000.0,3.9,6522.41,608,15554,10.16,36,car,C,0.0,1,6,0
98,35,115420.0,1.0,36444.05,729,6698,6.15,60,debt_consolidation,A,2.0,0,7,0
99,75,,14.9,2420.62,560,3327,11.61,60,debt_consolidation,D,0.0,2,9,1
100,40,85183.0,7.9,2814.15,724,9911,10.16,60,car,A,0.0,1,9,0
101,42,51345.0,5.7,8736.28,648,17743,12.95,36,car,C,2.0,1,9,0
102,22,32896.0,1.7,3657.22,618,10776,15.71,60,home,C,,0,10,0
103,55,18935.0,0.5,10736.92,690,100000,7.71,36,car,B,2.0,0,10,1
104,33,36401.0,,10266.57,661,7412,11.5,36,car,B,0.0,0,8,0
105,41,15000.0,6.9,6405.05,777,6951,7.12,36,debt_consolidation,AA,0.0,0,12,1
106,39,151761.0,15.1,67738.67,683,6617,11.02,36,other,B,1.0,1,5,1
107,20,,10.5,5477.22,845,49322,7.01,36,car,AA,0.0,2,11,0
108,44,18242.0,,9033.76,722,7070,8.15,36,car,A,0.0,0,9,0
109,29,15432.0,0.9,5209.25,611,30299,13.59,36,credit_card,C,1.0,0,7,0
110,34,21316.0,2.5,7128.29,808,3260,7.13,36,debt_consolidation,AA,0.0,2,6,0
111,47,15000.0,10.0,5526.39,475,26761,14.46,36,debt_consolidation,D,0.0,2,10,1
112,29,100018.0,,21279.82,658,21075,8.5,60,credit_card,B,2.0,0,7,0
113,56,86410.0,2.7,18059.59,711,23448,6.12,60,debt_consolidation,A,2.0,1,6,1
114,49,76277.0,10.2,22565.02,759,7371,6.53,36,debt_consolidation,AA,0.0,1,9,0
115,39,72051.0,4.6,11830.22,755,13681,6.13,36,car,AA,1.0,1,8,0
116,58,27317.0,10.9,4507.27,587,16531,13.05,36,home,D,0.0,0,5,0
117,55,22400.0,8.1,2183.21,784,10498,9.99,36,debt_consolidation,AA,1.0,1,8,0
118,53,129247.0,1.9,53189.69,660,4435,10.36,60,car,B,1.0,2,7,0
119,39,37425.0,5.3,15534.27,668,9928,8.53,60,credit_card,B,1.0,0,5,0
120,30,18208.0,8.2,1371.58,706,35650,8.71,36,credit_card,A,1.0,0,5,0
121,19,43652.0,2.5,5968.63,701,11714,5.3,36,credit_card,A,1.0,0,7,0
122,27,85607.0,2.9,19914.74,775,5122,5.66,36,debt_consolidation,AA,0.0,0,9,0
123,51,103034.0,2.8,31264.02,629,7227,7.98,60,car,C,1.0,2,10,1
124,35,35310.0,4.3,12370.38,694,15080,7.94,60,credit_card,B,1.0,0,7,0
125,39,29096.0,12.1,11689.64,732,19859,4.21,36,debt_consolidation,A,1.0,4,6,0
126,49,26262.0,0.2,6016.45,587,3150,9.4,36,home,D,0.0,0,10,0
127,49,15000.0,3.8,4764.56,656,8535,10.24,36,credit_card,B,1.0,0,4,0
128,47,18856.0,12.6,7815.56,821,10374,5.26,60,other,AA,1.0,1,4,0
129,44,45932.0,1.5,9236.35,850,14996,3.0,36,credit_card,AA,1.0,2,5,0
130,50,195512.0,6.1,53899.38,738,15327,7.62,36,debt_consolidation,A,0.0,0,7,0
131,44,15000.0,3.0,7488.55,661,14067,8.46,36,other,B,3.0,1,7,1
132,48,22551.0,2.3,3583.6,789,17791,5.83,36,debt_consolidation,AA,0.0,2,8,0
133,31,31841.0,5.4,11719.82,668,14377,8.57,36,debt_consolidation,B,0.0,1,6,0
134,33,15000.0,3.5,2507.12,693,19509,6.84,36,credit_card,B,0.0,3,8,0
135,34,96383.0,0.2,13591.69,608,30885,13.08,36,debt_consolidation,C,,0,8,0
136,46,74191.0,5.9,56819.51,591,25245,14.39,36,credit_card,D,0.0,0,3,1
137,18,45280.0,3.0,15291.2,641,35385,11.44,36,debt_consolidation,C,0.0,0,8,0
138,45,21396.0,1.2,8719.39,510,15727,15.57,36,debt_consolidation,D,0.0,1,6,0
139,48,63696.0,3.6,18058.26,511,12263,17.89,60,home,D,0.0,1,8,0
140,58,38526.0,13.1,14455.67,631,16941,8.17,60,credit_card,C,0.0,2,7,0
141,59,15856.0,0.7,1668.99,570,36245,15.76,36,car,D,0.0,4,7,0
142,38,65100.0,19.6,13641.31,656,43710,12.64,60,credit_card,B,1.0,0,6,0
143,39,,9.9,1123.95,628,6506,11.8,60,credit_card,C,0.0,0,7,0
144,40,41641.0,11.4,16030.09,850,24104,5.15,36,credit_card,AA,0.0,0,7,1
145,56,18933.0,7.4,12099.04,571,17394,13.75,60,credit_card,D,1.0,0,4,0
146,31,53797.0,0.2,5887.27,675,24220,6.91,36,other,B,0.0,1,9,0
147,50,20293.0,2.6,7084.17,651,10597,13.66,36,other,B,0.0,0,7,0
148,33,,3.7,14729.5,657,11396,9.6,36,credit_card,B,1.0,0,6,0
149,58,24275.0,12.4,10752.49,733,4922,7.01,60,home,A,0.0,1,6,0
150,36,64743.0,5.1,15541.29,719,9422,6.9,60,car,A,0.0,4,5,1
151,54,15661.0,2.0,7324.43,557,25641,9.49,36,car,D,1.0,0,5,0
152,41,41902.0,20.0,9051.41,605,14451,15.99,36,car,C,0.0,1,4,0
153,29,15000.0,2.3,3968.62,576,12788,11.06,36,other,D,1.0,2,6,0
154,42,,3.2,8588.76,679,12826,6.51,60,car,B,0.0,2,4,1
155,35,43617.0,,11378.63,789,13003,7.11,36,home,AA,2.0,1,8,0
156,51,22299.0,19.0,7083.86,767,5605,6.62,36,car,AA,0.0,0,5,0
157,36,19178.0,2.2,11120.48,657,9567,13.42,36,car,B,0.0,1,6,0
158,25,15000.0,2.9,1779.18,650,3981,12.45,36,car,C,1.0,4,7,0
159,41,15000.0,0.3,9579.15,713,14252,8.68,36,credit_card,A,0.0,1,5,0
160,40,77769.0,4.4,7220.67,607,6803,12.57,36,credit_card,C,1.0,1,6,0
161,28,97532.0,2.3,26071.4,639,27829,9.48,36,home,C,0.0,1,5,0
162,18,15000.0,1.9,3478.43,778,9567,7.77,60,car,AA,0.0,1,8,1
163,56,34054.0,3.8,7677.25,557,18171,13.21,36,home,D,0.0,1,6,0
164,26,99312.0,0.3,22761.46,688,34983,6.48,36,credit_card,B,0.0,2,9,1
165,35,,21.0,8900.94,791,9295,8.58,36,debt_consolidation,AA,2.0,1,6,0
166,28,24920.0,7.9,4142.51,546,4193,13.04,36,car,D,0.0,2,7,1
167,38,,9.5,15127.04,823,9331,5.69,60,home,AA,0.0,3,6,0
168,49,41362.0,1.0,22060.34,703,10066,7.32,36,debt_consolidation,A,2.0,0,8,0
169,23,36413.0,2.8,7533.08,545,4350,14.72,60,credit_card,D,0.0,1,5,0
170,66,34840.0,,9099.99,731,10629,9.04,36,car,A,1.0,3,5,0
171,55,81805.0,6.5,16917.57,628,6944,14.27,36,car,C,0.0,1,9,0
172,39,15000.0,3.2,5249.03,593,17757,11.07,36,debt_consolidation,D,1.0,0,7,1
173,50,46955.0,5.6,11523.93,703,4421,6.24,60,home,A,0.0,3,7,0
174,26,36138.0,8.4,6733.04,453,12453,15.66,36,car,D,0.0,2,9,0
175,31,,0.5,2189.87,748,7258,9.88,36,debt_consolidation,A,1.0,2,7,0
176,52,43134.0,4.2,5475.34,545,30093,14.17,36,other,D,0.0,0,6,0
177,41,40170.0,3.0,19384.86,716,20343,10.48,60,debt_consolidation,A,2.0,2,6,1
178,31,102740.0,,46847.23,715,15043,8.12,36,car,A,1.0,1,7,1
179,55,,12.0,1822.73,754,14495,7.09,36,credit_card,AA,1.0,0,7,0
180,37,38902.0,6.7,12802.82,700,2765,8.29,36,debt_consolidation,B,0.0,0,5,1
181,33,25432.0,7.8,13737.09,787,1000,6.29,60,car,AA,1.0,1,5,0
182,31,,,27584.99,731,11092,5.86,60,debt_consolidation,A,0.0,2,9,0
183,57,53754.0,4.3,17617.9,770,7280,10.98,36,car,AA,0.0,1,7,0
184,36,47647.0,6.3,6386.22,632,3907,8.35,36,debt_consolidation,C,1.0,2,6,0
185,28,19852.0,0.5,2575.05,751,5527,9.23,36,car,AA,,1,5,0
186,41,27393.0,3.1,7509.18,628,31148,14.19,36,other,C,2.0,0,7,0
187,44,,4.2,5891.24,618,2332,10.53,60,debt_consolidation,C,0.0,3,11,1
188,50,29209.0,10.9,8201.67,632,19742,9.86,36,car,C,1.0,1,7,0
189,54,55153.0,0.2,17812.77,659,42107,9.3,36,home,B,0.0,2,9,0
190,58,18977.0,0.5,8453.12,543,10203,16.04,60,credit_card,D,1.0,2,8,1
191,35,19520.0,3.7,415.51,677,7871,11.07,36,debt_consolidation,B,1.0,0,5,0
192,66,25685.0,5.2,4023.6,803,9428,7.07,60,other,AA,2.0,2,5,0
193,61,31897.0,15.5,15932.39,743,9331,6.87,60,car,A,0.0,1,9,0
194,29,33863.0,0.2,6724.72,627,11339,7.48,36,other,C,0.0,1,8,0
195,41,15000.0,0.0,7496.76,775,11537,7.15,36,other,AA,1.0,1,8,0
196,35,,4.2,10079.58,683,11570,10.84,60,other,B,2.0,0,6,0
197,52,40287.0,13.1,14872.28,771,23996,7.84,36,debt_consolidation,AA,0.0,1,5,0
198,35,57110.0,7.1,35797.82,657,17297,13.64,36,home,B,0.0,2,2,1
199,25,76446.0,10.7,13502.85,700,17170,9.08,60,car,B,0.0,1,11,0
200,20,26624.0,3.4,18452.07,688,11721,10.01,60,home,B,0.0,1,11,0
201,30,45886.0,,26233.97,717,23931,7.81,36,car,A,0.0,1,7,1
202,34,36106.0,7.4,21225.17,707,13161,8.6,60,credit_card,A,2.0,2,6,1
203,54,16916.0,9.5,6489.88,688,36389,7.56,36,car,B,0.0,1,9,1
204,64,16591.0,1.2,4577.26,599,38905,12.13,36,debt_consolidation,D,1.0,1,7,1
205,37,50554.0,13.7,16259.24,691,16069,10.89,60,debt_consolidation,B,0.0,1,9,1
206,18,15726.0,6.0,1849.3,718,5293,10.06,36,home,A,0.0,2,5,0
207,52,15055.0,1.1,3274.2,753,10468,10.99,60,debt_consolidation,AA,0.0,2,4,0
208,51,22313.0,1.9,8815.0,731,29524,6.6,60,debt_consolidation,A,1.0,0,5,0
209,34,32254.0,,5201.35,664,18173,9.77,60,home,B,1.0,0,4,0
210,18,19496.0,2.3,1012.94,729,5544,5.85,60,car,A,0.0,0,7,0
211,25,19569.0,12.4,8896.04,832,7945,6.7,36,debt_consolidation,AA,0.0,1,12,0
212,46,51694.0,1.0,17379.92,673,26127,12.8,36,car,B,0.0,1,8,0
213,34,65834.0,5.0,18870.54,646,25439,11.46,36,debt_consolidation,C,0.0,2,9,0
214,39,37348.0,2.3,12420.96,752,81064,8.72,60,other,AA,1.0,1,5,0
215,49,77862.0,4.5,30452.12,611,5881,11.52,60,debt_consolidation,C,0.0,1,6,0
216,32,17285.0,1.4,4716.45,724,20822,10.96,60,debt_consolidation,A,0.0,1,11,0
217,41,,9.9,33739.88,647,22182,9.37,36,credit_card,C,0.0,0,5,1
218,33,34003.0,0.8,13874.96,582,14640,9.02,36,credit_card,D,0.0,2,5,0
219,44,116667.0,0.0,42532.04,802,33362,4.79,36,other,AA,1.0,0,7,0
220,23,39985.0,6.3,15035.08,828,9622,9.49,60,home,AA,3.0,1,7,0
221,57,21994.0,4.8,1228.19,637,3897,8.07,36,credit_card,C,0.0,2,6,0
222,31,78785.0,1.9,34893.93,725,5802,8.13,36,debt_consolidation,A,0.0,1,5,0
223,34,,14.1,9387.47,677,23873,12.4,36,debt_consolidation,B,0.0,1,5,0
224,48,15000.0,11.8,3008.73,665,17737,10.53,36,car,B,2.0,1,7,0
225,44,15000.0,6.1,7376.4,729,29317,6.26,36,car,A,0.0,2,12,0
226,33,31404.0,1.5,18589.55,636,6071,12.63,60,car,C,2.0,5,10,1
227,63,45959.0,2.5,7190.45,645,4816,6.72,60,debt_consolidation,C,2.0,1,4,0
228,65,22572.0,1.0,2582.36,839,12509,5.43,60,home,AA,0.0,0,8,0
229,36,28473.0,1.5,13376.86,702,4450,8.6,36,car,A,0.0,1,7,0
230,46,31351.0,2.4,7997.37,709,5258,8.76,60,home,A,0.0,1,9,0
231,18,59416.0,0.0,25103.12,850,6316,3.75,36,debt_consolidation,AA,1.0,3,3,0
232,39,15208.0,4.6,2723.07,786,13405,7.83,36,home,AA,0.0,4,6,0
233,27,27312.0,,13257.28,530,36264,12.96,60,other,D,0.0,1,4,0
234,58,48611.0,10.0,2845.17,733,5935,6.68,36,credit_card,A,1.0,1,8,0
235,44,16301.0,0.2,6934.18,655,8648,10.11,60,home,B,0.0,1,6,1
236,45,30406.0,,9001.48,711,41427,11.6,36,home,A,1.0,1,8,0
237,39,116925.0,6.3,62732.92,630,5586,8.1,60,other,C,2.0,0,7,1
238,35,,2.5,23603.5,772,19533,8.05,60,home,AA,,0,8,0
239,36,19150.0,2.7,8346.25,647,4428,12.15,36,other,C,1.0,2,8,0
240,39,48049.0,2.9,5375.21,714,7255,7.84,60,other,A,1.0,1,11,0
241,65,104069.0,3.5,12476.66,648,11640,10.89,60,car,C,1.0,3,11,0
242,37,36423.0,4.8,5937.74,703,9160,8.21,36,other,A,,3,4,1
243,45,57804.0,28.2,7711.85,725,10516,9.68,60,debt_consolidation,A,1.0,1,6,0
244,52,38497.0,7.9,6056.34,793,17103,5.76,36,other,AA,1.0,0,8,0
245,52,198278.0,12.2,39914.66,816,27252,5.34,36,credit_card,AA,0.0,0,7,0
246,36,53917.0,0.1,7815.72,661,57303,11.83,36,car,B,1.0,0,6,0
247,30,28501.0,8.5,8275.2,811,19470,5.09,36,credit_card,AA,2.0,0,5,0
248,52,101859.0,7.7,31521.21,703,19608,8.63,36,credit_card,A,0.0,1,6,0
249,49,57842.0,1.6,25082.17,612,7946,13.81,36,credit_card,C,1.0,1,10,0
250,41,91932.0,6.5,61627.78,584,8945,12.92,60,car,D,0.0,0,9,0
251,29,41656.0,,20415.99,752,16637,4.94,60,home,AA,0.0,0,7,0
252,51,32669.0,1.0,9158.43,726,5484,12.48,36,credit_card,A,1.0,1,6,0
253,64,45383.0,5.8,10823.81,708,11821,9.44,60,other,A,2.0,0,6,0
254,30,41037.0,3.6,6205.05,830,39548,5.11,36,debt_consolidation,AA,0.0,1,7,0
255,52,34728.0,17.2,13294.02,608,11583,12.33,36,debt_consolidation,C,2.0,0,7,0
256,49,26537.0,10.2,12011.18,664,13723,8.89,60,home,B,0.0,0,4,0
257,44,,10.7,1571.05,715,12751,6.71,60,credit_card,A,0.0,0,9,0
258,43,55410.0,9.6,12519.39,625,36796,12.1,60,other,C,0.0,2,6,0
259,28,34957.0,1.5,12223.78,781,21796,10.07,36,credit_card,AA,0.0,0,11,0
260,37,23487.0,4.0,7231.71,619,22428,13.26,36,other,C,0.0,1,9,0
261,49,34672.0,2.3,5372.92,695,21195,5.86,36,home,B,0.0,1,6,0
262,35,47125.0,4.2,20819.29,726,8315,11.54,60,credit_card,A,0.0,2,6,0
263,39,,6.4,11184.13,686,6426,8.29,60,home,B,0.0,1,5,0
264,41,90304.0,2.7,19713.67,559,13661,13.41,36,debt_consolidation,D,2.0,0,6,0
265,31,88827.0,0.1,11820.09,850,4826,3.14,36,home,AA,0.0,1,7,0
266,40,26229.0,11.3,8050.47,669,21721,12.26,36,other,B,0.0,0,3,0
267,45,36099.0,,2901.56,713,6288,8.08,60,car,A,0.0,1,10,0
268,30,19798.0,13.6,3325.09,839,14473,5.04,36,home,AA,0.0,0,5,0
269,43,47258.0,10.6,2889.16,645,14601,12.4,36,home,C,0.0,1,8,0
270,55,15000.0,2.8,5377.19,670,17000,8.02,60,home,B,1.0,4,8,0
271,19,21844.0,4.5,12754.98,686,5565,5.39,60,credit_card,B,1.0,1,7,1
272,43,76893.0,,28257.36,723,16412,6.07,60,debt_consolidation,A,0.0,2,7,0
273,59,18976.0,1.2,409.57,708,5801,4.96,36,debt_consolidation,A,2.0,1,4,0
274,46,65616.0,8.3,22613.6,530,18360,13.99,36,home,D,1.0,1,6,1
275,37,91856.0,0.8,16838.05,539,20340,10.59,36,other,D,1.0,2,10,1
276,48,47677.0,3.7,11579.22,563,9414,11.35,36,debt_consolidation,D,1.0,2,12,0
277,20,37722.0,5.6,9572.72,643,48618,6.67,36,credit_card,C,0.0,0,10,0
278,35,,11.0,7048.61,635,26184,10.09,36,debt_consolidation,C,0.0,3,10,0
279,59,29055.0,14.8,13461.85,686,18395,11.02,60,car,B,1.0,2,2,0
280,49,22979.0,5.7,10675.06,780,30391,6.32,36,home,AA,0.0,1,11,0
281,33,93160.0,8.3,17322.35,797,19378,9.08,36,car,AA,0.0,0,8,0
282,43,49649.0,1.3,4832.07,688,18937,9.38,60,home,B,0.0,2,4,0
283,50,16085.0,1.4,3487.25,707,8774,9.03,36,credit_card,A,1.0,1,9,1
284,48,26559.0,7.3,7033.7,558,18854,13.67,36,debt_consolidation,D,0.0,0,4,0
285,29,15000.0,14.3,1513.63,753,22508,5.63,36,debt_consolidation,AA,1.0,0,6,0
286,47,27373.0,3.0,3088.56,562,16659,12.91,60,debt_consolidation,D,0.0,1,3,0
287,26,124385.0,0.9,27676.58,639,25008,11.27,60,car,C,0.0,0,4,1
288,66,23879.0,1.4,2749.6,739,13979,8.41,60,other,A,0.0,0,7,0
289,55,61718.0,7.0,21193.58,638,8516,10.7,36,credit_card,C,0.0,0,6,0
290,19,50244.0,18.5,19342.51,609,82858,12.49,36,credit_card,C,2.0,1,6,1
291,59,18641.0,2.5,8952.05,648,24909,8.24,60,debt_consolidation,C,0.0,1,3,0
292,47,20327.0,2.2,11700.53,666,5092,9.72,60,car,B,0.0,0,4,0
293,37,15956.0,0.9,1550.35,678,26103,7.92,60,debt_consolidation,B,0.0,0,8,0
294,68,30580.0,6.2,7752.69,850,1497,3.08,60,debt_consolidation,AA,1.0,2,11,0
295,18,23390.0,8.1,6385.03,632,10209,9.63,60,home,C,0.0,2,6,0
296,47,15271.0,6.6,3016.37,725,6854,7.74,60,credit_card,A,0.0,1,5,0
297,34,23481.0,4.0,8655.01,742,10720,8.25,60,car,A,0.0,0,7,0
298,56,43599.0,15.5,2900.39,700,18553,11.15,60,credit_card,B,0.0,1,9,0
299,26,15000.0,0.6,3013.82,735,33392,8.8,36,car,A,1.0,0,6,0
300,19,44288.0,5.2,5606.08,696,55318,9.89,36,credit_card,B,1.0,2,6,0
301,53,56940.0,11.5,39053.66,712,4621,4.78,36,credit_card,A,0.0,1,8,0
302,21,22208.0,,4513.51,726,12308,7.16,36,credit_card,A,0.0,2,4,0
303,41,15000.0,,415.88,696,7067,8.97,36,debt_consolidation,B,1.0,3,6,0
304,18,78889.0,0.2,11223.12,729,42273,5.52,36,credit_card,A,0.0,0,6,0
305,50,22999.0,,11497.55,640,6332,12.47,60,debt_consolidation,C,0.0,0,6,1
306,54,20613.0,40.0,3643.68,833,7752,4.75,36,car,AA,0.0,0,6,0
307,30,15000.0,1.6,2011.53,723,33693,6.41,60,debt_consolidation,A,1.0,1,8,0
308,45,26904.0,,7224.67,728,3090,5.32,60,other,A,0.0,1,7,0
309,54,64990.0,2.1,6038.75,676,3898,11.7,36,home,B,0.0,3,6,0
