transaction_id,amount,date,category,customer_type
123,5.44,2023-09-26,Home,Regular
124,82.44,2023-07-07,Books,New
125,36.56,2023-09-27,Home,Regular
126,5.76,2023-11-28,Home,Regular
127,22.85,2023-12-03,Clothing,Regular
128,13.43,2023-07-15,Clothing,Premium
129,48.57,2023-07-06,Electronics,Regular
130,165.43,2023-04-07,Books,New
131,3.49,2023-12-08,Electronics,New
132,38.02,2023-06-17,Clothing,Premium
133,27.33,2023-02-16,Electronics,Regular
134,74.11,2023-06-07,Home,Premium
135,42.77,2023-02-16,Home,Regular
136,13.43,2023-07-03,Clothing,Premium
137,22.58,2023-07-24,Home,Premium
138,12.74,2023-05-04,Books,Regular
139,120.45,2023-01-27,Clothing,New
140,33.97,2023-12-11,Books,Regular
141,324.22,2023-10-10,Clothing,Premium
142,30.79,2023-11-03,Clothing,Premium
143,14.15,2023-05-14,Home,New
144,5.38,2023-10-05,Clothing,Regular
145,3.8,2023-06-27,Clothing,Premium
146,4.95,2023-03-15,Electronics,Regular
147,45.63,2023-02-15,Home,Premium
148,60.98,2023-05-06,Books,Premium
149,4.97,2023-02-20,Clothing,Premium
150,96.94,2023-12-31,Books,New
151,18.55,2023-01-18,Electronics,New
152,39.49,2023-06-11,Clothing,New
153,229.22,2023-06-15,Books,Premium
154,97.15,2023-04-20,Home,Regular
155,23.99,2023-07-28,Electronics,New
156,11.37,2023-02-24,Electronics,Regular
157,2.5,2023-10-14,Books,Regular
158,13.97,2023-05-02,Clothing,Premium
159,25.7,2023-08-04,Clothing,Regular
160,10.13,2023-09-19,Home,Regular
161,28.29,2023-11-21,Home,New
162,36.31,2023-11-02,Clothing,Premium
163,25.28,2023-08-11,Electronics,New
164,15.18,2023-05-22,Home,Regular
165,40.54,2023-07-03,Home,New
166,56.28,2023-10-08,Electronics,New
167,8.95,2023-11-17,Clothing,New
168,180.03,2023-02-07,Books,Regular
169,29.42,2023-05-21,Home,Regular
170,33.87,2023-10-11,Electronics,New
171,77.47,2023-06-07,Home,New
172,43.81,2023-05-02,Electronics,Premium
173,103.93,2023-05-31,Home,New
174,46.74,2023-08-09,Clothing,New
175,15.88,2023-12-31,Electronics,Regular
176,51.1,2023-06-29,Books,Premium
177,8.39,2023-03-18,Books,New
178,37.72,2023-03-01,Home,Premium
179,31.82,2023-01-16,Books,Regular
180,25.8,2023-07-23,Home,Regular
181,28.38,2023-07-18,Electronics,New
182,3.46,2023-03-16,Electronics,Regular
183,17.14,2023-09-11,Books,New
184,37.02,2023-09-28,Books,Regular
185,40.12,2023-04-05,Clothing,New
186,9.65,2023-05-06,Electronics,Regular
187,151.24,2023-12-28,Books,Premium
188,11.71,2023-05-17,Books,Regular
189,105.99,2023-10-05,Books,New
190,55.29,2023-06-15,Home,Regular
191,15.25,2023-10-17,Clothing,Regular
192,278.77,2023-10-08,Electronics,New
193,7.91,2023-09-01,Books,Regular
194,99.78,2023-11-08,Books,New
195,110.02,2023-12-09,Books,Regular
196,14.81,2023-07-31,Home,Regular
197,176.08,2023-03-28,Electronics,New
198,24.53,2023-05-26,Books,New
199,46.83,2023-10-04,Books,New
200,45.26,2023-08-26,Home,Premium
201,28.19,2023-03-06,Home,Regular
202,87.62,2023-01-19,Clothing,New
203,85.81,2023-09-07,Clothing,Regular
204,4.06,2023-04-02,Electronics,New
205,158.41,2023-07-02,Clothing,Regular
206,4.5,2023-09-30,Electronics,Regular
207,114.33,2023-07-25,Clothing,Premium
208,128.0,2023-01-31,Books,New
209,8.94,2023-03-09,Clothing,Regular
210,20.23,2023-03-22,Books,Regular
211,8.79,2023-04-05,Electronics,Premium
212,25.59,2023-07-26,Clothing,Regular
213,22.88,2023-07-03,Clothing,Regular
214,84.4,2023-03-16,Clothing,Regular
215,159.55,2023-01-25,Books,Regular
216,176.76,2023-03-04,Books,Premium
217,16.87,2023-12-26,Clothing,Premium
218,25.76,2023-06-21,Electronics,Regular
219,4.39,2023-11-13,Books,Regular
220,12.59,2023-11-06,Home,Premium
221,105.41,2023-07-06,Electronics,New
222,230.14,2023-09-15,Electronics,New
223,7.53,2023-03-12,Electronics,Regular
224,16.27,2023-09-09,Books,New
225,32.08,2023-04-10,Clothing,Premium
226,46.35,2023-10-31,Clothing,Regular
227,12.53,2023-01-31,Home,Regular
228,55.08,2023-10-10,Clothing,Regular
229,18.75,2023-02-06,Home,Regular
230,32.55,2023-11-18,Home,Regular
231,63.79,2023-04-22,Clothing,New
232,33.37,2023-08-27,Home,Regular
233,19.62,2023-06-27,Electronics,Regular
234,29.03,2023-05-14,Electronics,New
235,29.78,2023-08-24,Electronics,Regular
236,21.24,2023-12-12,Books,New
237,24.27,2023-01-16,Home,Premium
238,225.51,2023-12-02,Home,Regular
239,64.92,2023-08-11,Electronics,Premium
240,23.23,2023-10-22,Books,Regular
241,76.43,2023-05-21,Clothing,Premium
242,22.19,2023-06-22,Electronics,New
243,135.33,2023-11-14,Books,New
244,51.6,2023-06-01,Clothing,New
245,29.11,2023-07-15,Books,Regular
246,56.67,2023-01-08,Clothing,New
247,5.03,2023-02-27,Home,Regular
248,8.57,2023-08-23,Home,Regular
249,7.9,2023-09-19,Books,Regular
250,39.31,2023-08-01,Books,Regular
251,264.81,2023-02-22,Clothing,New
252,481.81,2023-06-12,Books,Regular
253,71.21,2023-05-10,Books,Regular
254,60.4,2023-06-30,Clothing,Premium
255,3.81,2023-11-14,Clothing,Regular
256,17.27,2023-10-11,Home,Premium
257,12.87,2023-01-31,Electronics,Regular
258,15.72,2023-11-21,Books,Premium
259,27.06,2023-06-22,Clothing,New
260,18.79,2023-09-29,Home,Regular
261,3.08,2023-02-21,Electronics,Premium
262,81.25,2023-09-02,Books,New
263,9.14,2023-03-28,Home,Regular
264,44.13,2023-06-10,Electronics,Premium
265,398.98,2023-01-07,Books,Regular
266,10.99,2023-02-25,Home,New
267,1.59,2023-02-03,Books,Regular
268,23.5,2023-03-29,Electronics,New
269,124.11,2023-02-06,Clothing,Premium
270,347.24,2023-09-10,Home,New
271,7.57,2023-01-11,Electronics,New
272,60.1,2023-08-14,Books,New
273,18.95,2023-02-21,Electronics,Regular
274,29.16,2023-12-11,Electronics,Premium
275,790.93,2023-12-07,Clothing,New
276,5.45,2023-03-24,Home,New
277,44.9,2023-08-13,Electronics,Regular
278,58.05,2023-01-11,Clothing,Premium
279,121.87,2023-12-07,Clothing,Regular
280,37.25,2023-07-10,Clothing,Regular
281,47.93,2023-01-16,Books,Regular
282,20.7,2023-05-06,Clothing,New
283,45.74,2023-01-29,Clothing,Regular
284,21.94,2023-05-24,Clothing,Regular
285,69.82,2023-09-02,Clothing,Premium
286,21.25,2023-06-21,Home,Premium
287,52.07,2023-05-21,Home,Regular
288,31.97,2023-02-13,Clothing,Regular
289,127.9,2023-03-31,Electronics,Regular
290,31.13,2023-02-06,Books,New
291,3.94,2023-10-22,Electronics,Regular
292,150.55,2023-02-19,Electronics,Regular
293,11.17,2023-08-06,Clothing,Premium
294,15.11,2023-05-06,Electronics,New
295,16.2,2023-03-24,Home,Regular
296,172.32,2023-08-22,Home,Regular
297,2.55,2023-06-16,Books,New
298,1429.81,2023-05-27,Home,Regular
299,117.6,2023-08-05,Home,Premium
300,43.29,2023-06-29,Clothing,Premium
301,31.0,2023-04-21,Home,Regular
302,46.65,2023-07-24,Electronics,New
303,61.89,2023-09-02,Electronics,Premium
304,71.83,2023-01-10,Home,Regular
305,64.5,2023-06-20,Books,Regular
306,36.87,2023-01-22,Books,New
307,26.13,2023-03-10,Books,New
308,27.62,2023-07-24,Home,New
309,26.21,2023-11-13,Books,Regular
310,129.09,2023-11-19,Home,New
311,67.51,2023-01-26,Electronics,New
312,0.97,2023-06-02,Books,Regular
313,72.75,2023-08-01,Books,Regular
314,41.83,2023-02-23,Books,New
315,32.38,2023-10-07,Electronics,New
316,20.78,2023-09-29,Home,New
317,127.6,2023-11-26,Electronics,Regular
318,103.24,2023-01-04,Electronics,New
319,13.1,2023-03-21,Clothing,Regular
320,53.97,2023-10-29,Books,New
321,10.32,2023-09-02,Home,New
322,6.32,2023-11-23,Home,Regular
323,15.61,2023-01-21,Clothing,New
324,93.21,2023-08-06,Clothing,New
325,103.93,2023-07-27,Electronics,Regular
326,61.3,2023-01-14,Clothing,Regular
327,79.05,2023-07-07,Home,Regular
328,61.52,2023-08-11,Home,New
329,15.34,2023-03-11,Home,Premium
330,55.61,2023-04-10,Electronics,Premium
331,86.53,2023-08-22,Books,Regular
332,81.87,2023-06-20,Books,Regular
333,137.92,2023-11-10,Electronics,Premium
334,77.48,2023-05-05,Home,New
335,50.49,2023-04-08,Home,New
336,119.6,2023-12-26,Electronics,New
337,32.08,2023-11-29,Electronics,Premium
338,11.49,2023-01-11,Clothing,Regular
339,27.23,2023-10-09,Electronics,Premium
340,13.55,2023-02-10,Books,New
341,14.73,2023-01-11,Electronics,Premium
342,27.84,2023-04-10,Home,Premium
343,12.8,2023-04-09,Home,Premium
344,22.88,2023-10-27,Home,Regular
345,3.41,2023-09-17,Books,Premium
346,42.77,2023-12-25,Books,Premium
347,33.16,2023-09-17,Clothing,Regular
348,12.42,2023-06-02,Electronics,Regular
349,73.05,2023-09-13,Clothing,Regular
350,102.01,2023-12-31,Electronics,Regular
351,4.81,2023-09-17,Electronics,Regular
352,13.26,2023-10-06,Books,New
353,13.16,2023-12-09,Home,Regular
354,10.72,2023-02-11,Electronics,New
355,89.6,2023-09-15,Books,New
356,26.24,2023-11-07,Clothing,New
357,24.11,2023-12-15,Home,Premium
358,2.99,2023-03-19,Clothing,New
359,70.99,2023-07-03,Clothing,Premium
360,7.48,2023-09-06,Books,Regular
361,35.58,2023-04-01,Home,Regular
362,46.19,2023-08-08,Electronics,New
363,169.49,2023-04-05,Clothing,New
364,6.89,2023-05-02,Electronics,Regular
365,0.88,2023-06-11,Home,New
366,41.29,2023-07-13,Books,Regular
367,287.32,2023-06-14,Books,Premium
368,146.46,2023-06-30,Books,New
369,42.59,2023-04-19,Electronics,Regular
370,18.36,2023-02-28,Electronics,Premium
371,87.23,2023-01-18,Home,Premium
372,10.3,2023-03-13,Electronics,Premium
373,58.65,2023-08-01,Books,Premium
374,60.74,2023-10-14,Clothing,Regular
375,118.19,2023-03-03,Clothing,Premium
376,908.32,2023-02-09,Clothing,Premium
377,53.03,2023-10-01,Books,Regular
378,17.98,2023-04-22,Electronics,Regular
379,32.11,2023-12-14,Clothing,Regular
380,3.96,2023-09-18,Electronics,Regular
381,14.39,2023-04-30,Electronics,New
382,20.26,2023-04-16,Books,Regular
383,17.66,2023-07-11,Electronics,Regular
384,39.76,2023-01-29,Electronics,Regular
385,12.34,2023-02-12,Books,New
386,127.13,2023-03-06,Home,Regular
387,33.12,2023-10-10,Clothing,New
388,32.75,2023-07-07,Clothing,New
389,22.34,2023-01-04,Electronics,Regular
390,39.89,2023-09-03,Home,Regular
391,89.13,2023-06-04,Books,New
392,11.7,2023-07-06,Electronics,Regular
393,15.03,2023-03-20,Books,Regular
394,23.0,2023-07-21,Clothing,Regular
395,6.59,2023-12-24,Books,Regular
396,12.39,2023-01-27,Clothing,New
397,18.7,2023-04-14,Books,Regular
398,94.56,2023-03-30,Books,Premium
399,45.38,2023-04-01,Home,Regular
400,41.78,2023-05-19,Books,Premium
401,91.93,2023-10-26,Electronics,Regular
402,28.08,2023-11-30,Home,Regular
403,52.91,2023-03-15,Electronics,Premium
404,29.26,2023-07-18,Books,Regular
405,45.53,2023-08-21,Books,Premium
406,16.46,2023-07-10,Home,Regular
407,1.77,2023-06-08,Clothing,Premium
408,28.19,2023-03-12,Home,Regular
409,182.6,2023-06-28,Clothing,Premium
410,100.63,2023-05-27,Clothing,New
411,105.48,2023-10-18,Books,Regular
412,145.96,2023-10-06,Electronics,Premium
413,36.83,2023-02-18,Home,New
414,41.96,2023-02-02,Home,Regular
415,15.78,2023-11-28,Books,Premium
416,22.66,2023-07-15,Books,New
417,69.33,2023-11-10,Home,Regular
418,140.42,2023-01-22,Home,Regular
419,28.01,2023-07-12,Electronics,Regular
420,19.29,2023-07-16,Books,New
421,33.14,2023-11-11,Electronics,New
422,68.13,2023-02-05,Books,New
423,5.86,2023-03-29,Books,New
424,2.11,2023-05-29,Electronics,New
425,17.1,2023-11-13,Clothing,Regular
426,7.65,2023-12-09,Clothing,Regular
427,18.0,2023-12-29,Clothing,Regular
428,27.73,2023-12-17,Books,New
429,19.22,2023-01-03,Electronics,Regular
430,189.23,2023-01-18,Clothing,Regular
431,49.01,2023-02-23,Home,Premium
432,47.49,2023-05-08,Clothing,Regular
433,69.87,2023-10-30,Electronics,Premium
434,8.44,2023-11-22,Books,New
435,115.23,2023-03-10,Electronics,Regular
436,30.24,2023-08-15,Books,Regular
437,74.04,2023-12-01,Electronics,Premium
438,9.15,2023-06-19,Electronics,Regular
439,5.13,2023-02-07,Home,Regular
440,88.36,2023-06-17,Clothing,New
441,52.02,2023-05-18,Clothing,Regular
442,11.22,2023-07-30,Electronics,New
443,11.66,2023-06-10,Clothing,New
444,127.81,2023-01-07,Home,New
445,7.95,2023-12-29,Electronics,Premium
446,237.75,2023-07-18,Clothing,Regular
447,11.24,2023-06-22,Clothing,Premium
448,71.24,2023-12-15,Books,Premium
449,22.32,2023-02-26,Clothing,Premium
450,68.29,2023-03-11,Clothing,Premium
451,17.24,2023-10-22,Books,Premium
452,27.24,2023-04-06,Electronics,New
453,34.78,2023-10-19,Electronics,New
454,9.95,2023-04-10,Home,Regular
455,80.56,2023-01-13,Books,Regular
456,17.89,2023-07-08,Electronics,New
457,25.17,2023-03-13,Clothing,Regular
458,10.04,2023-10-04,Clothing,Regular
459,1.53,2023-08-23,Clothing,Premium
460,26.33,2023-12-04,Home,Regular
461,598.93,2023-10-13,Electronics,Regular
462,84.9,2023-03-07,Books,Regular
463,32.36,2023-10-20,Electronics,Regular
464,24.16,2023-08-23,Books,Premium
465,34.02,2023-09-02,Books,New
466,63.85,2023-10-31,Electronics,Regular
467,8.03,2023-07-29,Clothing,Regular
468,126.11,2023-06-20,Clothing,Regular
469,78.14,2023-08-21,Books,New
470,78.4,2023-04-19,Clothing,New
471,56.05,2023-03-08,Home,New
472,33.9,2023-08-14,Home,Regular
473,74.25,2023-03-27,Books,Premium
474,67.37,2023-01-30,Clothing,Regular
475,21.65,2023-01-01,Books,New
476,16.64,2023-08-11,Home,Regular
477,37.42,2023-05-13,Home,New
478,212.47,2023-10-02,Home,Premium
479,7.49,2023-05-17,Electronics,Regular
480,5.69,2023-06-27,Home,Premium
481,40.35,2023-05-29,Clothing,Regular
482,35.2,2023-08-26,Electronics,Premium
483,40.77,2023-05-10,Home,New
484,44.38,2023-12-18,Clothing,New
485,25.33,2023-12-08,Home,New
486,197.91,2023-11-06,Clothing,Regular
487,4.85,2023-12-02,Clothing,Regular
488,12.25,2023-06-13,Home,Regular
489,29.26,2023-07-15,Home,Premium
490,4.61,2023-09-28,Electronics,New
491,26.82,2023-09-12,Home,Regular
492,243.17,2023-11-22,Clothing,Premium
493,33.96,2023-09-19,Books,Regular
494,43.68,2023-12-31,Electronics,Premium
495,7.3,2023-05-08,Clothing,Regular
496,15.81,2023-11-01,Clothing,Regular
497,21.11,2023-09-12,Books,New
498,22.62,2023-09-10,Home,Premium
499,154.16,2023-04-29,Clothing,Premium
500,64.67,2023-10-14,Books,Premium
501,8.73,2023-11-25,Books,Regular
502,44.51,2023-03-21,Home,Premium
503,60.21,2023-08-17,Books,Regular
504,130.08,2023-05-24,Books,Regular
505,220.67,2023-12-28,Books,Premium
506,9.8,2023-06-24,Books,New
507,12.52,2023-03-25,Books,New
508,7.32,2023-05-20,Books,Regular
509,25.01,2023-08-27,Clothing,Regular
510,57.95,2023-01-28,Electronics,Regular
511,108.29,2023-08-09,Home,Regular
512,30.23,2023-12-06,Electronics,Premium
513,22.56,2023-11-07,Home,Regular
514,39.73,2023-01-25,Electronics,New
515,12.16,2023-12-29,Home,Regular
516,406.44,2023-09-13,Books,Premium
517,4.81,2023-03-01,Electronics,New
518,41.33,2023-01-05,Electronics,Regular
519,375.53,2023-03-04,Home,New
520,33.39,2023-11-02,Home,Regular
521,26.36,2023-01-08,Clothing,New
522,21.56,2023-03-27,Books,Regular
523,26.67,2023-10-04,Books,Regular
524,171.99,2023-08-02,Clothing,Premium
525,2.33,2023-10-13,Home,Regular
526,208.54,2023-09-30,Books,Premium
527,6.0,2023-01-19,Home,Regular
528,24.05,2023-11-22,Books,New
529,19.78,2023-03-24,Electronics,New
530,67.11,2023-07-21,Electronics,Premium
531,4.87,2023-08-24,Books,Regular
532,57.66,2023-03-03,Books,Premium
533,375.84,2023-12-23,Books,New
534,6.45,2023-06-28,Clothing,New
535,41.58,2023-01-22,Books,Regular
536,14.96,2023-12-09,Clothing,Regular
537,55.21,2023-08-02,Clothing,New
538,33.89,2023-09-13,Electronics,Regular
539,15.34,2023-07-11,Books,Regular
540,59.47,2023-11-01,Electronics,Regular
541,288.65,2023-01-13,Electronics,New
542,26.34,2023-04-08,Clothing,Regular
543,78.55,2023-06-21,Home,Regular
544,7.02,2023-01-28,Clothing,Regular
545,10.51,2023-09-15,Electronics,Regular
546,58.37,2023-05-24,Clothing,Premium
547,196.55,2023-04-10,Clothing,Regular
548,50.74,2023-01-02,Clothing,Premium
549,22.74,2023-09-20,Books,Regular
550,33.09,2023-11-01,Clothing,New
551,7.39,2023-05-25,Electronics,Regular
552,68.4,2023-07-25,Clothing,Regular
553,95.47,2023-03-25,Books,Regular
554,19.25,2023-08-16,Electronics,Regular
555,18.84,2023-01-05,Clothing,New
556,45.56,2023-06-28,Electronics,Regular
557,19.61,2023-08-24,Books,Regular
558,30.59,2023-12-02,Home,Regular
559,411.44,2023-05-20,Books,Regular
560,24.62,2023-10-07,Books,Premium
561,21.54,2023-08-07,Electronics,Regular
562,15.23,2023-12-05,Electronics,New
563,80.89,2023-05-26,Home,Premium
564,26.64,2023-04-27,Home,New
565,15.19,2023-11-20,Home,Regular
566,161.67,2023-01-18,Books,New
567,181.91,2023-02-19,Books,New
568,16.11,2023-01-31,Home,New
569,3.53,2023-11-04,Home,Regular
570,110.94,2023-01-04,Home,New
571,14.56,2023-11-11,Clothing,New
572,85.52,2023-06-14,Clothing,Regular
573,3.11,2023-01-02,Home,Regular
574,96.65,2023-05-27,Books,Premium
575,7.74,2023-03-10,Electronics,Premium
576,79.59,2023-08-16,Books,Regular
577,33.69,2023-09-05,Electronics,Premium
578,10.54,2023-06-27,Home,Regular
579,20.32,2023-01-15,Clothing,Regular
580,75.46,2023-08-28,Clothing,Regular
581,37.6,2023-11-04,Electronics,New
582,66.77,2023-09-20,Home,Regular
583,354.86,2023-10-30,Clothing,Regular
584,5.07,2023-03-15,Home,New
585,230.59,2023-11-21,Home,New
586,37.53,2023-04-28,Electronics,New
587,11.26,2023-01-05,Home,Premium
588,6.71,2023-11-04,Home,Premium
589,26.39,2023-12-10,Electronics,Regular
590,100.08,2023-08-28,Clothing,New
591,28.42,2023-03-26,Books,New
592,203.04,2023-04-02,Home,Premium
593,5.8,2023-06-20,Electronics,New
594,32.64,2023-11-24,Clothing,Premium
595,7.37,2023-02-24,Home,Regular
596,51.23,2023-10-29,Books,Premium
597,95.99,2023-04-17,Clothing,Regular
598,19.99,2023-10-23,Electronics,Regular
599,1.45,2023-12-02,Home,Regular
600,42.04,2023-06-06,Electronics,Premium
601,55.93,2023-05-14,Books,Premium
602,53.79,2023-10-20,Books,Regular
603,145.9,2023-07-13,Electronics,Regular
604,9.16,2023-09-07,Home,Premium
605,74.91,2023-08-16,Electronics,Premium
606,138.52,2023-02-25,Clothing,Regular
607,3.92,2023-11-05,Electronics,New
608,48.6,2023-03-13,Books,New
609,18.08,2023-12-07,Home,Premium
610,30.03,2023-04-02,Home,New
611,50.26,2023-09-25,Books,New
612,18.45,2023-04-14,Books,New
613,14.72,2023-04-26,Clothing,Regular
614,34.5,2023-04-24,Books,Regular
615,8.98,2023-09-30,Books,New
616,9.0,2023-07-23,Books,New
617,74.83,2023-11-19,Home,Regular
618,8.34,2023-04-23,Books,Premium
619,73.67,2023-09-10,Electronics,New
620,57.69,2023-10-02,Electronics,New
621,4.17,2023-02-25,Home,Regular
622,14.69,2023-05-27,Clothing,Premium
623,138.79,2023-06-26,Clothing,Regular
624,10.2,2023-05-10,Home,Regular
625,18.97,2023-04-28,Electronics,Premium
626,57.65,2023-09-08,Home,New
627,84.78,2023-03-20,Books,New
628,24.49,2023-09-16,Home,Regular
629,16.17,2023-12-08,Clothing,Premium
630,182.52,2023-07-26,Electronics,Regular
631,266.85,2023-08-12,Clothing,Premium
632,107.19,2023-01-26,Clothing,Regular
633,36.69,2023-11-12,Electronics,Regular
634,12.55,2023-04-15,Books,New
635,12.22,2023-08-13,Electronics,New
636,61.99,2023-12-24,Electronics,Regular
637,54.71,2023-08-06,Home,New
638,178.02,2023-09-22,Electronics,New
639,72.28,2023-06-12,Home,Premium
640,5.45,2023-01-23,Clothing,Premium
641,117.02,2023-10-19,Electronics,New
642,10.0,2023-01-13,Books,Regular
643,20.89,2023-09-13,Home,New
644,44.71,2023-01-09,Home,New
645,363.14,2023-11-11,Books,Regular
646,1382.85,2023-02-27,Home,Regular
647,68.58,2023-07-07,Home,New
648,26.58,2023-08-06,Books,Regular
649,62.89,2023-06-17,Clothing,New
650,96.08,2023-05-05,Electronics,Premium
651,22.54,2023-06-20,Electronics,Regular
652,285.5,2023-04-24,Electronics,Regular
653,43.64,2023-06-09,Electronics,New
654,60.18,2023-05-12,Electronics,Regular
655,73.63,2023-07-26,Electronics,Regular
656,54.92,2023-03-28,Home,Premium
657,90.62,2023-12-27,Electronics,New
658,15.79,2023-07-02,Home,Premium
659,16.95,2023-03-12,Books,Regular
660,8.84,2023-06-24,Clothing,New
661,56.11,2023-11-13,Home,Regular
662,84.33,2023-01-08,Clothing,Regular
663,57.36,2023-09-06,Books,Premium
664,247.0,2023-07-20,Electronics,Regular
665,32.89,2023-03-03,Clothing,Regular
666,73.88,2023-10-26,Clothing,New
667,8.93,2023-05-15,Books,New
668,20.81,2023-04-18,Books,Regular
669,76.3,2023-10-30,Books,Regular
670,91.74,2023-08-22,Home,Regular
671,23.27,2023-11-24,Home,New
672,30.39,2023-08-18,Clothing,New
673,5.36,2023-09-28,Books,Regular
674,21.58,2023-11-02,Clothing,Premium
675,96.4,2023-01-20,Electronics,Regular
676,66.04,2023-10-11,Books,Regular
677,60.39,2023-08-13,Home,Regular
678,35.15,2023-01-26,Books,New
679,33.4,2023-07-05,Clothing,Regular
680,14.99,2023-01-31,Home,Regular
681,76.6,2023-09-26,Electronics,Premium
682,54.88,2023-07-19,Electronics,Regular
683,59.77,2023-12-15,Clothing,New
684,17.62,2023-03-08,Books,Regular
685,2.5,2023-08-10,Electronics,Regular
686,123.54,2023-03-19,Clothing,New
